recap_id,game_id,text
1,100001,"On October 21, 2025, the Spokane Outlaws traveled to face the Baton Rouge Falcons. The Spokane Outlaws came away with a 101-94 victory over the Baton Rouge Falcons. Ellison-Reyes (KER) led the Spokane Outlaws with 23 points. On the losing side, Godfrey scored 26 points. At the break, the Baton Rouge Falcons were up 50-42 after the opening two quarters. The Spokane Outlaws rallied back from a 12-point deficit to come away with the win. The go-ahead bucket late in the game came from Thackeray of the Spokane Outlaws. On the boards, Brennan finished with 12 rebounds. At one stretch of the game, the Spokane Outlaws were ahead by 14 points."
2,100002,"On October 21, 2025, the ANC and the TUL met, with the Tulsa Admirals on the road. The Anchorage Herons came away with a 122-88 victory over the Tulsa Admirals. For the winners, Wolfe scored 21 points. For the Tulsa Admirals, Mercer scored a team-high 21 points. At the break, the Anchorage Herons were up 59-45 after the opening two quarters. The Anchorage Herons never trailed at any point in the game. Wolfe set the pace with 10 assists. The Anchorage Herons led by as many as 40 points at one stage of the game."
3,100003,"Mateo Pemberton shook off foul trouble to deliver the decisive basket in the closing minutes as the Boise Glaciers held off the Missoula Anchors 118-114 on October 22, 2025. Boise trailed by just 1 point at its worst moment, in a game they led just 61-60 at halftime. McAllister erupted for 41 points to carry Boise, but Thackeray's 29 points on the losing side weren't enough to offset it. The Glaciers rained in 15 threes down the stretch, riding that shooting to seal the win over the Anchors."
4,100004,"The Tacoma Talons never trailed on October 22, 2025, riding a 55-52 halftime edge over the visiting Austin Sentinels to a 131-118 win. Gallagher topped the Talons with 25 points, while Bellamy answered for Austin with 23 in a losing effort. Tacoma stretched its advantage to as much as 19 points at one stage of the contest, and 13 turnovers by the Sentinels only made the deficit harder to climb out of as the hosts controlled the pace from start to finish."
5,100005,"On the road on October 22, 2025, the BAK took on the ANC at the Anchorage Herons' arena. The Anchorage Herons won, 133-111, over the Bakersfield Wranglers. Fairbanks was the top scorer for the Anchorage Herons, going for 23 points. Brennan paced the Bakersfield Wranglers with 31 points despite the loss. Heading into halftime, the Anchorage Herons led 67-57 through two quarters of play. The Anchorage Herons were in front the entire game, never trailing once. The Anchorage Herons got 44 points off the bench. Rivera battled foul trouble for stretches of the game."
6,100006,"Down by 14 points at one stretch, the Spokane Outlaws still found a way past the visiting El Paso Ospreys on October 22, 2025, escaping with a 125-124 win. Samir Zimmer supplied the late go-ahead score for Spokane, whose Ellison-Reyes (KER) scored 35. Carver was even better for the Ospreys, posting 39 points and 7 assists, and El Paso had led 58-56 at the break. Carver, Zimmer, Salazar and Brennan all fought foul trouble in a game decided by a single point."
7,100007,"The Buffalo Marshals visited the Baton Rouge Falcons on October 22, 2025. The final score was Baton Rouge Falcons 139, Buffalo Marshals 129. Godfrey topped all scorers for the Baton Rouge Falcons with 25 points. On the losing side, Redmond scored 33 points. The Buffalo Marshals held a 66-60 edge at the half of a closely contested game. After facing a 9-point deficit earlier in the game, the Baton Rouge Falcons came all the way back. Godfrey provided the go-ahead points for the Baton Rouge Falcons in the closing minutes. The margin of victory was 10 points. The Baton Rouge Falcons' largest lead of the game was 20 points."
8,100008,"The Missoula Anchors visited the Cheyenne Pioneers on October 23, 2025. The MIS beat the CHE, 136-134. For the winners, Rutledge scored 27 points. Cheyenne Pioneers scorer Bellamy put up 32 points. The Missoula Anchors led 75-63 at the half after two competitive quarters. The Missoula Anchors controlled the game from start to finish, never trailing. Keller came up with the go-ahead basket in the final stretch of the game. McAllister did not suit up for the Missoula Anchors. Foul trouble limited Thackeray and Jennings for parts of the game."
9,100009,"The Spokane Outlaws hosted the Reno Ridgebacks on October 23, 2025. The Spokane Outlaws defeated the Reno Ridgebacks by a score of 107-101. Ellison-Reyes was the top scorer for the Spokane Outlaws, going for 31 points. For the Reno Ridgebacks, Kirby scored a team-high 23 points. At halftime, the Spokane Outlaws were ahead 62-55 following the first two periods. The Spokane Outlaws erased a 11-point hole along the way to close out the win. Ramsey provided the go-ahead points for the Spokane Outlaws in the closing minutes. On the boards, Brennan finished with 18 rebounds. Thackeray picked up enough fouls during the game to be in foul trouble."
10,100010,"On October 24, 2025, the Anchorage Herons traveled to face the Boise Glaciers. The Anchorage Herons won, 127-114, over the Boise Glaciers. Fairbanks topped all scorers for the Anchorage Herons with 43 points. On the losing side, Sawyer scored 25 points. The Boise Glaciers led 62-59 at the half after two competitive quarters. Down by as many as 8 points during the game, the Anchorage Herons still found a way to win. The go-ahead bucket late in the game came from Moreno of the Anchorage Herons. Distributing the ball, Wolfe finished with 10 assists. The Anchorage Herons led by as many as 19 points at one stage of the game."
