note_id,game_id,player_id,team_id,note_date,status,text
1,100437,10066,547,2026-01-21,out,Gentry is out for the Missoula Anchors matchup with hamstring tightness.
2,100086,10771,727,2025-11-08,out,"Ocampo will not play on November 8, 2025 because of rest."
3,100217,10771,727,2025-12-06,out,Ocampo (hamstring) is out for this game against the Fresno Bison.
4,100234,10771,727,2025-12-12,out,Ocampo is out for the Louisville Nomads matchup with hamstring tightness.
5,100309,10771,727,2025-12-30,out,Ocampo is out for the Bakersfield Wranglers matchup with a sprained wrist.
6,100346,10771,727,2026-01-06,out,"Ocampo will not play on January 6, 2026 because of knee soreness."
7,100365,10771,727,2026-01-09,out,Ocampo is out for the Tulsa Admirals matchup with knee soreness.
8,100413,10771,727,2026-01-17,out,"Ocampo will not play on January 17, 2026 because of a sprained wrist."
9,100447,10771,727,2026-01-23,out,"Ocampo misses the January 23, 2026 game against the Albuquerque Lancers (wrist)."
10,100454,10771,727,2026-01-24,out,"Ocampo misses the January 24, 2026 game against the Reno Ridgebacks (wrist)."
11,100478,10771,727,2026-01-29,out,Ocampo is out for the Columbus Voyagers matchup with knee soreness.
12,100499,10771,727,2026-02-01,out,"Ocampo misses the February 1, 2026 game against the Bakersfield Wranglers (rest)."
13,100592,10771,727,2026-02-25,out,"Ruled out for February 25, 2026, Ocampo cites a calf strain."
14,100652,10771,727,2026-03-09,out,"Due to knee soreness, Ocampo is out against the Des Moines Vultures."
15,100746,10771,727,2026-03-25,out,"Ocampo will not play on March 25, 2026 because of rest."
16,100003,10851,430,2025-10-22,out,"Ruled out for October 22, 2025, McAllister cites concussion protocol."
17,100008,10851,430,2025-10-23,out,"Ruled out for October 23, 2025, McAllister cites concussion protocol."
18,100025,10851,430,2025-10-26,out,"Ruled out for October 26, 2025, McAllister cites concussion protocol."
19,100027,10851,430,2025-10-27,out,McAllister (concussion) is out for this game against the Anchorage Herons.
20,100040,10851,430,2025-10-29,out,"Due to concussion protocol, McAllister is out against the Fresno Bison."
21,100047,10851,430,2025-10-31,out,"Ruled out for October 31, 2025, McAllister cites concussion protocol."
22,100051,10851,430,2025-11-01,out,"McAllister will not play on November 1, 2025 because of concussion protocol."
23,100055,10851,430,2025-11-02,out,"Due to concussion protocol, McAllister is out against the Raleigh Wardens."
24,100068,10851,430,2025-11-04,out,"Ruled out for November 4, 2025, McAllister cites concussion protocol."
25,100074,10851,430,2025-11-05,out,McAllister (concussion) is out for this game against the Columbus Voyagers.
26,100089,10851,430,2025-11-08,out,McAllister (concussion) is out for this game against the Albuquerque Lancers.
27,100095,10851,430,2025-11-10,out,"McAllister misses the November 10, 2025 game against the Spokane Outlaws (concussion)."
28,100102,10851,430,2025-11-11,out,"Ruled out for November 11, 2025, McAllister cites concussion protocol."
29,100106,10851,430,2025-11-12,out,"Due to concussion protocol, McAllister is out against the Tacoma Talons."
30,100121,10851,430,2025-11-15,out,"McAllister misses the November 15, 2025 game against the Bakersfield Wranglers (concussion)."
31,100136,10851,430,2025-11-18,out,"Due to concussion protocol, McAllister is out against the El Paso Ospreys."
32,100145,10851,430,2025-11-19,out,McAllister (concussion) is out for this game against the Nashville Tempest.
33,100146,10851,430,2025-11-20,out,"Ruled out for November 20, 2025, McAllister cites concussion protocol."
34,100177,10851,430,2025-11-28,out,"McAllister misses the November 28, 2025 game against the Grand Rapids Drifters (concussion)."
35,100182,10851,430,2025-11-29,out,"McAllister misses the November 29, 2025 game against the Baton Rouge Falcons (concussion)."
36,100201,10851,430,2025-12-03,out,"McAllister misses the December 3, 2025 game against the Reno Ridgebacks (concussion)."
37,100208,10851,430,2025-12-05,out,McAllister is out for the Cincinnati Stallions matchup with concussion protocol.
38,100216,10851,430,2025-12-06,out,"Ruled out for December 6, 2025, McAllister cites concussion protocol."
39,100227,10851,430,2025-12-08,out,McAllister is out for the Albany Condors matchup with concussion protocol.
40,100250,10851,430,2025-12-18,out,"McAllister will not play on December 18, 2025 because of concussion protocol."
41,100254,10851,430,2025-12-19,out,"Ruled out for December 19, 2025, McAllister cites concussion protocol."
42,100270,10851,430,2025-12-22,out,McAllister (concussion) is out for this game against the Louisville Nomads.
43,100271,10851,430,2025-12-23,out,"Ruled out for December 23, 2025, McAllister cites concussion protocol."
44,100282,10851,430,2025-12-25,out,McAllister (concussion) is out for this game against the Spokane Outlaws.
45,100285,10851,430,2025-12-26,out,"Ruled out for December 26, 2025, McAllister cites concussion protocol."
46,100289,10851,430,2025-12-27,out,"McAllister will not play on December 27, 2025 because of concussion protocol."
47,100295,10851,430,2025-12-28,out,"Ruled out for December 28, 2025, McAllister cites concussion protocol."
48,100300,10851,430,2025-12-29,out,"McAllister misses the December 29, 2025 game against the Reno Ridgebacks (concussion)."
49,100315,10851,430,2025-12-31,out,"Due to concussion protocol, McAllister is out against the Fresno Bison."
50,100328,10851,430,2026-01-02,out,McAllister is out for the El Paso Ospreys matchup with concussion protocol.
51,100345,10851,430,2026-01-05,out,"Ruled out for January 5, 2026, McAllister cites concussion protocol."
52,100347,10851,430,2026-01-06,out,McAllister (concussion) is out for this game against the Birmingham Foxes.
53,100367,10851,430,2026-01-09,out,"McAllister misses the January 9, 2026 game against the Albany Condors (concussion)."
54,100378,10851,430,2026-01-11,out,"McAllister will not play on January 11, 2026 because of concussion protocol."
55,100388,10851,430,2026-01-13,out,"McAllister will not play on January 13, 2026 because of concussion protocol."
56,100398,10851,430,2026-01-15,out,McAllister (concussion) is out for this game against the Raleigh Wardens.
57,100415,10851,430,2026-01-17,out,"McAllister will not play on January 17, 2026 because of concussion protocol."
58,100419,10851,430,2026-01-18,out,"Due to concussion protocol, McAllister is out against the Buffalo Marshals."
59,100437,10851,430,2026-01-21,out,"McAllister will not play on January 21, 2026 because of concussion protocol."
60,100446,10851,430,2026-01-23,out,McAllister is out for the El Paso Ospreys matchup with concussion protocol.
61,100467,10851,430,2026-01-27,out,"McAllister misses the January 27, 2026 game against the Honolulu Miners (concussion)."
62,100479,10851,430,2026-01-29,out,McAllister is out for the Tacoma Talons matchup with concussion protocol.
63,100489,10851,430,2026-01-30,out,"Ruled out for January 30, 2026, McAllister cites concussion protocol."
64,100491,10851,430,2026-01-31,out,McAllister is out for the Albuquerque Lancers matchup with concussion protocol.
65,100501,10851,430,2026-02-02,out,McAllister is out for the Cincinnati Stallions matchup with an illness.
66,100576,10851,430,2026-02-22,out,"Due to rest, McAllister is out against the Austin Sentinels."
67,100599,10851,430,2026-02-26,out,"Due to rest, McAllister is out against the Bakersfield Wranglers."
68,100022,11268,891,2025-10-26,out,Barnett (rest) is out for this game against the Boise Glaciers.
69,100033,11268,891,2025-10-27,out,Barnett is out for the Austin Sentinels matchup with rest.
70,100034,11268,891,2025-10-28,out,"Barnett will not play on October 28, 2025 because of rest."
71,100039,11268,891,2025-10-29,out,"Barnett will not play on October 29, 2025 because of rest."
72,100050,11268,891,2025-11-01,out,"Due to rest, Barnett is out against the Tacoma Talons."
73,100066,11268,891,2025-11-03,out,"Barnett misses the November 3, 2025 game against the Bakersfield Wranglers (rest)."
74,100094,11268,891,2025-11-10,out,"Ruled out for November 10, 2025, Barnett cites rest."
75,100159,11268,891,2025-11-23,out,Barnett (rest) is out for this game against the Cheyenne Pioneers.
76,100188,11268,891,2025-11-30,out,"Barnett will not play on November 30, 2025 because of rest."
