team_id,city,name,abbreviation,conference,division
217,Jacksonville,Cobras,JAC,East,Southeast
326,Albany,Condors,ALB,East,Atlantic
460,Cincinnati,Stallions,CIN,East,Central
547,Tulsa,Admirals,TUL,West,Southwest
317,Grand Rapids,Drifters,GRA,East,Central
908,Baton Rouge,Falcons,BAT,West,Southwest
604,Anchorage,Herons,ANC,West,Northwest
789,Tacoma,Talons,TAC,West,Pacific
662,El Paso,Ospreys,ELP,West,Southwest
592,Fresno,Bison,FRE,West,Pacific
727,Honolulu,Miners,HON,West,Pacific
618,Raleigh,Wardens,RAL,East,Southeast
680,Columbus,Voyagers,COL,East,Central
740,Boise,Glaciers,BOI,West,Northwest
273,Providence,Skylarks,PRO,East,Atlantic
554,Newark,Mustangs,NEW,East,Atlantic
750,Nashville,Tempest,NAS,East,Southeast
891,Des Moines,Vultures,DES,East,Central
709,Hartford,Comets,HAR,East,Atlantic
386,Bakersfield,Wranglers,BAK,West,Pacific
430,Missoula,Anchors,MIS,West,Northwest
108,Reno,Ridgebacks,REN,West,Pacific
162,Albuquerque,Lancers,ALE,West,Southwest
486,Spokane,Outlaws,SPO,West,Northwest
829,Buffalo,Marshals,BUF,East,Atlantic
788,Cheyenne,Pioneers,CHE,West,Northwest
933,Austin,Sentinels,AUS,West,Southwest
365,Birmingham,Foxes,BIR,East,Southeast
985,Louisville,Nomads,LOU,East,Central
541,Richmond,Kestrels,RIC,East,Southeast
